Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2/1/20,"1,937","6,600",3.09,0,880,242,2,13,800
2/2/20,"1,609","2,440",1.06,0,960,113,8,0,344
2/3/20,"1,876","7,339",3.2,0,845,223,9,9,724
2/4/20,"1,786","5,792",2.54,0,995,182,0,0,571
2/5/20,"2,047","9,343",4.19,0,404,232,13,15,898
2/6/20,"1,549","2,820",1.28,0,881,94,0,0,285
2/7/20,"1,944","9,586",4.3,0,936,218,8,10,791
2/8/20,"1,881","6,997",3.09,0,828,243,0,0,745
2/9/20,"1,760","4,553",1.99,0,912,199,0,0,565
2/10/20,"1,648","2,198",0.96,0,882,144,0,0,421
2/11/20,"1,994","11,714",5.17,0,854,189,25,19,839
2/12/20,"1,781","5,389",2.4,0,993,174,7,6,574
2/13/20,"1,921","8,309",3.74,0,856,240,0,0,761
2/14/20,"1,644","3,012",1.31,0,866,186,0,0,454
2/15/20,"2,097","10,472",4.57,0,971,295,32,0,"1,003"
2/16/20,"1,848","7,276",3.17,0,877,179,16,7,656
2/17/20,"1,702","5,662",2.61,0,914,125,3,18,470
2/18/20,"1,895","9,226",4.14,0,939,198,13,11,728
2/19/20,"1,719","5,330",2.37,0,941,155,0,0,476
2/20/20,"1,892","8,382",3.84,0,939,222,0,0,709
2/21/20,"1,772","5,476",2.42,0,825,193,0,0,578
2/22/20,"1,826","6,316",2.99,0,"1,091",164,4,13,629
2/23/20,"1,732","4,295",1.87,0,990,207,0,0,542
2/24/20,"1,817","7,076",3.34,0,773,170,3,17,619
2/25/20,"1,782","6,058",2.68,0,"1,014",189,0,0,569
2/26/20,"1,666","4,391",1.96,0,"1,093",126,0,0,416
2/27/20,"1,565","3,659",1.7,0,"1,349",91,0,0,301
2/28/20,"1,893","6,014",2.62,0,"1,299",32,0,0,78
2/29/20,"1,771","4,910",2.14,0,"1,440",0,0,0,0
3/1/20,"2,150","13,006",5.67,0,"1,440",0,0,0,0
3/2/20,"1,754","4,062",1.77,0,"1,440",0,0,0,0
3/3/20,"1,884","7,240",3.29,0,"1,440",0,0,0,0
3/4/20,"1,620","3,478",1.52,0,"1,440",0,0,0,0
3/6/20,"1,317","4,318",1.92,0,"1,440",0,0,0,0
3/7/20,"1,997","6,726",3.07,0,"1,440",0,0,0,0
3/8/20,"1,762","4,132",1.8,0,"1,440",0,0,0,0
3/9/20,"1,705","5,060",2.35,0,"1,352",88,0,0,278
3/10/20,"1,745","5,812",2.54,0,"1,256",184,0,0,549
3/11/20,"1,364",323,0.14,0,"1,116",21,0,0,53
3/12/20,"1,930","7,849",3.42,0,966,201,16,10,731
3/13/20,"2,109","10,697",4.75,0,807,313,4,7,"1,031"
3/14/20,"1,868","9,860",4.3,0,751,134,59,12,714
3/15/20,"1,952","8,246",3.6,0,699,272,6,1,843
3/16/20,"2,134","13,123",5.92,0,748,241,46,22,"1,052"
3/17/20,"2,116","15,315",6.73,0,760,197,56,28,"1,014"
3/18/20,"2,361","19,341",8.9,0,624,173,98,41,"1,292"
3/19/20,"2,037","11,527",5.03,0,666,216,39,24,923
3/20/20,"1,561","1,642",0.71,0,233,128,0,0,319
3/21/20,"1,745","8,833",3.85,0,"1,240",72,43,24,539
3/22/20,"1,628","2,737",1.19,0,759,173,0,0,434
3/23/20,"1,868","8,839",3.86,0,690,156,56,4,706
3/24/20,"1,569","3,914",1.99,0,871,49,3,20,300
3/25/20,"1,713","5,096",2.51,0,750,138,1,18,505
3/26/20,"1,644","4,905",2.14,0,816,102,24,8,418
3/27/20,"1,499","2,405",1.05,0,803,89,0,0,250
3/28/20,"1,703","4,934",2.15,0,791,140,18,1,497
3/29/20,"2,033","9,781",4.28,0,733,265,13,6,932
3/30/20,"1,656","3,755",1.64,0,819,145,9,3,439
3/31/20,"1,539","2,410",1.05,0,904,109,0,0,298
4/1/20,"1,881","8,482",4.53,0,838,93,2,52,635
4/2/20,"1,763","6,898",4.45,0,864,53,9,38,508
4/3/20,"1,363",191,0.08,0,"1,032",21,0,0,47
4/4/20,"1,864","6,914",3.83,0,825,124,12,32,662
4/5/20,"1,441",787,0.34,0,"1,032",66,0,0,154
4/6/20,"1,463",826,0.36,0,960,73,0,0,174
4/7/20,"1,417","1,406",0.63,0,"1,019",31,6,2,124
4/8/20,"1,729","6,629",3.49,0,"1,000",62,2,30,479
4/9/20,"1,732","4,597",2.01,0,872,195,0,0,533
4/10/20,"2,064","11,382",5.65,0,679,205,3,37,937
4/11/20,"1,919","8,635",4.86,0,957,80,4,63,702
4/12/20,"1,593","3,024",1.32,0,881,133,0,0,355
4/13/20,"1,721","4,061",1.77,0,833,206,0,0,547
4/14/20,"1,458",686,0.3,0,"1,088",64,0,0,165
4/15/20,"2,032","10,883",6,0,792,162,10,44,874
4/16/20,"1,317",0,0,0,"1,440",0,0,0,0
4/17/20,"1,119",0,0,0,"1,223",0,0,0,0