Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,homework,project,exam,Weekly Assign Num,Is Weekend,Is Break
1609.0,2440.0,1.06,960.0,113.0,8.0,0.0,344.0,2020-02-02 03:09:00,2020-02-02 09:08:00,327.0,32.0,32.0,359.0,84.0,145.0,98.0,2,0,0,2,1,0
1876.0,7339.0,3.2,845.0,223.0,9.0,9.0,724.0,2020-02-03 02:35:00,2020-02-03 08:29:00,309.0,45.0,24.0,354.0,67.0,166.0,76.0,1,0,0,2,0,0
2047.0,9343.0,4.19,404.0,232.0,13.0,15.0,898.0,2020-02-05 02:26:00,2020-02-05 08:54:00,355.0,27.0,1.0,388.0,,,,0,0,0,2,0,0
1549.0,2820.0,1.28,881.0,94.0,0.0,0.0,285.0,2020-02-06 03:21:00,2020-02-06 11:06:00,399.0,66.0,36.0,465.0,90.0,231.0,78.0,1,0,0,2,0,0
1760.0,4553.0,1.99,912.0,199.0,0.0,0.0,565.0,2020-02-09 03:39:00,2020-02-09 09:08:00,287.0,42.0,23.0,329.0,57.0,137.0,93.0,0,0,0,2,1,0
1648.0,2198.0,0.96,882.0,144.0,0.0,0.0,421.0,2020-02-10 03:21:00,2020-02-10 10:16:00,381.0,29.0,1.0,414.0,,,,0,0,0,2,0,0
1781.0,5389.0,2.4,993.0,174.0,7.0,6.0,574.0,2020-02-12 00:22:00,2020-02-12 09:37:00,321.0,37.0,1.0,358.0,,,,0,0,0,2,0,0
1921.0,8309.0,3.74,856.0,240.0,0.0,0.0,761.0,2020-02-13 02:22:00,2020-02-13 08:06:00,319.0,25.0,2.0,344.0,,,,0,0,0,2,0,0
1644.0,3012.0,1.31,866.0,186.0,0.0,0.0,454.0,2020-02-14 01:08:00,2020-02-14 07:36:00,346.0,42.0,33.0,388.0,91.0,181.0,74.0,0,0,0,2,0,0
1848.0,7276.0,3.17,877.0,179.0,16.0,7.0,656.0,2020-02-16 02:47:00,2020-02-16 08:49:00,293.0,68.0,26.0,361.0,77.0,169.0,47.0,2,0,0,2,1,0
1702.0,5662.0,2.61,914.0,125.0,3.0,18.0,470.0,2020-02-17 02:16:00,2020-02-17 08:36:00,335.0,45.0,23.0,380.0,89.0,153.0,93.0,1,1,0,3,0,0
1719.0,5330.0,2.37,941.0,155.0,0.0,0.0,476.0,2020-02-19 03:32:00,2020-02-19 09:16:00,307.0,37.0,29.0,344.0,60.0,153.0,94.0,0,0,0,3,0,0
1772.0,5476.0,2.42,825.0,193.0,0.0,0.0,578.0,2020-02-21 01:52:00,2020-02-21 08:06:00,332.0,42.0,31.0,374.0,83.0,186.0,63.0,0,0,0,3,0,0
1732.0,4295.0,1.87,990.0,207.0,0.0,0.0,542.0,2020-02-23 02:56:00,2020-02-23 06:59:00,212.0,31.0,12.0,243.0,35.0,128.0,49.0,0,0,0,3,1,0
1817.0,7076.0,3.34,773.0,170.0,3.0,17.0,619.0,2020-02-24 01:48:00,2020-02-24 09:46:00,422.0,55.0,33.0,477.0,92.0,194.0,136.0,2,0,0,2,0,0
1868.0,9860.0,4.3,751.0,134.0,59.0,12.0,714.0,2020-03-14 00:43:00,2020-03-14 08:47:00,411.0,73.0,19.0,484.0,108.0,271.0,32.0,0,0,0,1,1,0
1952.0,8246.0,3.6,699.0,272.0,6.0,1.0,843.0,2020-03-15 00:56:00,2020-03-15 08:39:00,425.0,37.0,28.0,462.0,102.0,278.0,45.0,0,0,0,1,1,0
2134.0,13123.0,5.92,748.0,241.0,46.0,22.0,1052.0,2020-03-16 02:55:00,2020-03-16 09:18:00,333.0,50.0,31.0,383.0,72.0,221.0,40.0,0,0,0,0,0,1
2116.0,15315.0,6.73,760.0,197.0,56.0,28.0,1014.0,2020-03-17 00:58:00,2020-03-17 07:38:00,363.0,36.0,29.0,399.0,74.0,198.0,91.0,0,0,0,0,0,1
2361.0,19341.0,8.9,624.0,173.0,98.0,41.0,1292.0,2020-03-18 00:34:00,2020-03-18 08:58:00,420.0,84.0,36.0,504.0,77.0,263.0,80.0,0,0,0,0,0,1
2037.0,11527.0,5.03,666.0,216.0,39.0,24.0,923.0,2020-03-19 00:02:00,2020-03-19 08:54:00,523.0,22.0,1.0,545.0,,,,0,0,0,0,0,1
1561.0,1642.0,0.71,233.0,128.0,0.0,0.0,319.0,2020-03-20 01:03:00,2020-03-20 09:08:00,425.0,60.0,49.0,485.0,78.0,259.0,88.0,0,0,0,0,0,1
1628.0,2737.0,1.19,759.0,173.0,0.0,0.0,434.0,2020-03-22 00:32:00,2020-03-22 09:00:00,435.0,73.0,36.0,508.0,27.0,336.0,72.0,0,0,0,0,1,1
1868.0,8839.0,3.86,690.0,156.0,56.0,4.0,706.0,2020-03-23 00:04:00,2020-03-23 08:58:00,473.0,61.0,34.0,534.0,103.0,286.0,84.0,0,0,0,0,0,1
1569.0,3914.0,1.99,871.0,49.0,3.0,20.0,300.0,2020-03-24 00:47:00,2020-03-24 09:04:00,414.0,83.0,29.0,497.0,54.0,276.0,84.0,0,0,0,0,0,1
1713.0,5096.0,2.51,750.0,138.0,1.0,18.0,505.0,2020-03-25 00:05:00,2020-03-25 08:59:00,478.0,55.0,32.0,533.0,102.0,246.0,130.0,0,0,0,0,0,1
1644.0,4905.0,2.14,816.0,102.0,24.0,8.0,418.0,2020-03-26 01:03:00,2020-03-26 09:13:00,426.0,64.0,31.0,490.0,72.0,261.0,93.0,0,0,0,0,0,1
1499.0,2405.0,1.05,803.0,89.0,0.0,0.0,250.0,2020-03-27 00:57:00,2020-03-27 10:05:00,474.0,74.0,41.0,548.0,79.0,305.0,90.0,0,0,0,0,0,1
1703.0,4934.0,2.15,791.0,140.0,18.0,1.0,497.0,2020-03-28 00:47:00,2020-03-28 08:57:00,435.0,55.0,21.0,490.0,61.0,262.0,112.0,0,0,0,0,1,1
2033.0,9781.0,4.28,733.0,265.0,13.0,6.0,932.0,2020-03-29 02:00:00,2020-03-29 09:04:00,376.0,47.0,22.0,423.0,104.0,192.0,80.0,0,0,0,0,1,1
1656.0,3755.0,1.64,819.0,145.0,9.0,3.0,439.0,2020-03-30 01:18:00,2020-03-30 09:02:00,408.0,56.0,31.0,464.0,63.0,264.0,81.0,0,0,0,3,0,0
1539.0,2410.0,1.05,904.0,109.0,0.0,0.0,298.0,2020-03-31 02:03:00,2020-03-31 09:10:00,376.0,51.0,30.0,427.0,75.0,207.0,94.0,0,0,1,3,0,0
1881.0,8482.0,4.53,838.0,93.0,2.0,52.0,635.0,2020-04-01 02:40:00,2020-04-01 10:15:00,398.0,57.0,32.0,455.0,86.0,211.0,101.0,0,0,0,3,0,0
1763.0,6898.0,4.45,864.0,53.0,9.0,38.0,508.0,2020-04-02 01:25:00,2020-04-02 09:22:00,430.0,46.0,38.0,476.0,70.0,243.0,117.0,0,1,0,3,0,0
1363.0,191.0,0.08,1032.0,21.0,0.0,0.0,47.0,2020-04-03 02:27:00,2020-04-03 08:54:00,320.0,67.0,39.0,387.0,49.0,175.0,96.0,0,0,0,3,0,0
1864.0,6914.0,3.83,825.0,124.0,12.0,32.0,662.0,2020-04-04 01:58:00,2020-04-04 09:25:00,386.0,61.0,47.0,447.0,56.0,230.0,100.0,0,0,0,3,1,0
1441.0,787.0,0.34,1032.0,66.0,0.0,0.0,154.0,2020-04-05 03:46:00,2020-04-05 09:28:00,321.0,21.0,2.0,342.0,,,,1,0,0,3,1,0
1463.0,826.0,0.36,960.0,73.0,0.0,0.0,174.0,2020-04-06 03:33:00,2020-04-06 10:20:00,394.0,13.0,1.0,407.0,,,,1,0,0,1,0,0
1417.0,1406.0,0.63,1019.0,31.0,6.0,2.0,124.0,2020-04-07 02:06:00,2020-04-07 08:28:00,356.0,26.0,1.0,382.0,,,,0,0,0,1,0,0
1729.0,6629.0,3.49,1000.0,62.0,2.0,30.0,479.0,2020-04-08 03:43:00,2020-04-08 09:29:00,338.0,8.0,1.0,346.0,,,,0,0,0,1,0,0
1732.0,4597.0,2.01,872.0,195.0,0.0,0.0,533.0,2020-04-09 02:54:00,2020-04-09 09:07:00,357.0,16.0,2.0,373.0,,,,0,0,0,1,0,0
2064.0,11382.0,5.65,679.0,205.0,3.0,37.0,937.0,2020-04-10 01:31:00,2020-04-10 10:07:00,482.0,31.0,0.0,516.0,,,,0,0,0,1,0,0
1593.0,3024.0,1.32,881.0,133.0,0.0,0.0,355.0,2020-04-12 02:15:00,2020-04-12 09:21:00,357.0,69.0,32.0,426.0,42.0,197.0,118.0,0,0,0,1,1,0
1721.0,4061.0,1.77,833.0,206.0,0.0,0.0,547.0,2020-04-13 02:10:00,2020-04-13 08:51:00,354.0,47.0,19.0,401.0,60.0,179.0,115.0,1,0,0,2,0,0
2032.0,10883.0,6.0,792.0,162.0,10.0,44.0,874.0,2020-04-15 01:55:00,2020-04-15 09:07:00,375.0,57.0,34.0,432.0,76.0,193.0,106.0,0,0,0,2,0,0
